genres,popularity,vote_average,spoken_languages
"Crime, Drama",3.666979,6.9,English
"Drama, Romance",2.010982,6.9,"Deutsch, Français, Italiano, English"
Drama,1.080317,7.0,English
"Action, Adventure, Drama, War",2.27778,7.3,"English, Deutsch, Italiano"
Comedy,5.354787,7.3,"English, Français, Italiano, 普通话, Pусский"
"Drama, Romance",1.588943,6.3,English
"Adventure, Comedy, Crime",4.769209,6.1,English
"Drama, Mystery, Crime",9.730217,8.1,"Deutsch, English"
Drama,9.303104,6.7,English
"Action, History, War",10.064446,7.2,"English, Somali"
"Drama, History, Romance, War",11.34469,6.1,English
"Music, Drama, Romance",2.592296,6.2,English
"Drama, Mystery, Thriller",14.101101,6.8,English
Drama,12.935016,7.2,English
"Drama, Romance",6.341187,6.6,English
"Drama, Romance",8.191094,6.4,English
"Crime, Drama",8.48839,7.9,English
Comedy,1.147517,6.2,English
Drama,5.002136,5.9,English
"Drama, Action, Thriller",1.672406,5.0,English
"Comedy, Crime, Mystery, Thriller",5.570606,7.4,English
Drama,6.071204,7.3,English
Drama,4.358659,6.8,English
"Romance, Drama",2.242307,6.1,Français
"Comedy, Drama",4.582365,6.0,English
"Adventure, Horror, Action, History",11.564252,6.6,"Français, Deutsch, Italiano"
"Drama, Romance",1.363895,7.5,"English, Français, 普通话"
"Mystery, Thriller",7.340512,5.4,English
"Drama, Romance, Foreign",0.139463,5.5,
"Drama, Romance",1.631723,5.3,English
"Comedy, Romance",1.076058,5.0,English
"Drama, Action, Thriller, Romance",10.445117,6.3,"English, Pусский, Español"
"Fantasy, Drama, Comedy, Science Fiction, Romance",2.066145,6.6,English
"Drama, Romance",1.090793,7.0,English
"Comedy, Drama, Romance",3.075976,6.0,English
"Comedy, Drama",0.936527,6.7,English
"Animation, Fantasy, Family",2.370931,7.0,"English, Italiano, Español"
Fantasy,3.383201,6.5,"English, Magyar"
"Animation, Fantasy, Science Fiction",8.471302,6.2,English
"Comedy, Fantasy",2.234554,7.3,"English, Deutsch"
"Thriller, Crime",4.402396,6.0,"English, Deutsch, Español"
"Drama, Thriller",2.825173,5.7,English
"Comedy, Science Fiction",1.409619,3.3,English
"Action, Science Fiction, Thriller",8.209652,6.1,English
"Action, Comedy",5.305679,6.0,English
"Adventure, Comedy, Family",13.470227,5.3,English
Drama,0.042859,5.0,Deutsch
"Comedy, Drama, Romance",5.396508,6.5,Dansk
Drama,0.167601,7.5,עִבְרִית
"Action, Adventure, Comedy",2.057471,4.9,English
"Science Fiction, Thriller",9.974312,6.3,English
Drama,5.079464,6.8,"广州话 / 廣州話, English"
"Drama, History",7.265781,7.5,Deutsch
"Comedy, Western",1.999626,4.6,English
"Comedy, Drama, Foreign",1.779207,6.5,Deutsch
Documentary,1.014863,7.8,English
"Comedy, Drama, War",7.701349,6.9,"English, Français, 日本語, 한국어/조선말"
"Drama, Romance",1.893822,6.3,English
"Mystery, Science Fiction, Thriller, Drama",6.097929,7.1,English
"Western, Action",6.945886,6.2,"English, Español"
"Action, Adventure, Drama, Thriller",10.765924,7.3,English
"Drama, Horror, Mystery",8.50563,6.1,English
"Drama, Romance",8.054499,7.5,English
"Comedy, Romance",0.158651,5.3,"English, "
Drama,1.199804,6.7,普通话
"Comedy, Horror, Science Fiction",0.142296,3.4,
Drama,1.343844,6.3,"English, Français, Norsk"
"Animation, Science Fiction",9.298092,6.8,"Pусский, English, 日本語, Français, Deutsch, Italiano, Español"
Drama,7.331867,6.3,"Italiano, Latin"
"Comedy, Drama",9.447478,6.4,"English, Deutsch, Italiano"
"Comedy, Drama, Horror",0.506962,6.0,English
"Action, Adventure, Drama, Family",4.048513,6.2,"English, Français, Deutsch, Pусский"
"Comedy, Romance",7.584638,5.1,English
"Drama, Romance",5.289075,6.4,English
"Drama, Music, Romance",0.86603,5.9,English
"Comedy, Romance",8.559189,5.4,English
"Comedy, Crime, Thriller",6.271279,6.1,"English, Pусский"
Drama,3.278211,6.5,"English, Français"
"Comedy, Drama, Mystery, Romance",1.788953,5.4,English
Action,2.030808,5.1,English
"Drama, Music, Romance",3.552627,6.8,English
"Drama, Music",5.861963,7.9,"English, Italiano"
"Romance, Comedy, Drama",2.411369,6.9,Français
"Drama, Comedy",2.836965,7.1,Français
"Action, Comedy",0.420615,0.0,English
"Horror, Drama, History",2.646421,6.9,Français
"Action, Comedy",3.206246,7.2,"shqip, English, Français"
"Comedy, Family",4.643981,5.6,"English, Français, Italiano"
"Action, Thriller, Drama",10.175503,5.5,"English, Español"
"Action, Science Fiction, Thriller",9.347077,3.4,"Deutsch, Français, 日本語, 한국어/조선말, Pусский, العربية, English"
"Comedy, Crime",3.227759,5.9,English
"Action, Adventure, Comedy, Family",12.508518,5.8,"English, Français, Deutsch"
"Drama, Family, Music",0.808053,6.3,English
"Drama, Family",1.146347,6.4,English
"Drama, Family, Music",1.396,7.2,English
Comedy,5.214505,4.4,
Comedy,0.353046,7.2,English
"Comedy, Family",6.961256,5.8,"English, Deutsch"
Drama,1.9687,5.2,Español
"Thriller, Drama, Horror",5.966221,7.1,"Italiano, English"
"Action, Adventure, Comedy, Drama, Family, Music, Romance",6.631356,4.7,English
"Drama, War",14.116474,5.9,"English, Deutsch"
"Drama, Thriller, Crime",8.867562,7.0,"English, Español"
"Drama, Horror, Thriller",7.873794,6.2,English
"Comedy, Drama",2.76118,6.0,English
"Crime, Comedy",1.273061,5.8,English
"Drama, Romance",3.12508,7.4,English
"War, Action, Drama, History",0.790084,5.9,English
"Comedy, Romance",1.904237,5.1,English
"Comedy, Romance",1.165341,6.8,English
Drama,1.62152,6.9,English
Drama,3.511224,7.0,"English, Deutsch"
"Comedy, Drama, Romance",2.955581,6.5,English
"Comedy, Romance",1.11576,6.0,"English, Español"
Drama,0.727819,6.3,"English, Deutsch"
"Action, Comedy",6.963023,6.3,English
"Thriller, Horror, Romance, Science Fiction",1.738062,5.3,English
Drama,4.924078,6.2,"English, Español"
"Drama, Comedy",0.437438,6.5,English
"Action, Adventure, Drama",0.755576,5.5,"Tiếng Việt, English"
"Comedy, Drama",6.38471,6.5,English
Comedy,0.995043,4.5,English
Drama,0.147295,8.0,English
"Comedy, Drama",6.00447,6.1,"English, Italiano"
"Comedy, Drama, Romance",10.625504,6.8,"English, हिन्दी"
Horror,0.910772,5.0,English
"Documentary, Music",0.655434,7.8,English
"Comedy, Drama",2.589616,7.1,Český
"Comedy, Drama, Romance",1.598199,6.8,"Magyar, Český"
Drama,6.89416,7.9,"Latin, svenska"
Drama,0.006154,0.0,English
Western,0.313233,4.3,English
Drama,0.364631,7.6,English
"Comedy, Romance",8.628928,5.2,English
"Action, History, War",11.34706,6.7,"English, Tiếng Việt, Français"
"Drama, Horror",1.707091,5.9,"English, Français"
"Action, Adventure",3.44163,6.0,English
"Action, Crime, Drama",2.077256,5.9,English
"Action, Drama",1.554937,6.0,English
Horror,3.117965,5.8,"Magyar, Italiano, Latin, English"
"Drama, Romance",1.97664,6.5,English
Horror,2.442874,5.4,"Italiano, Español"
"Drama, Romance",8.295437,5.1,English
Drama,0.109362,6.8,English
Horror,2.776386,6.3,English
"Fantasy, Animation, Science Fiction, Family",3.612089,4.4,English
"Romance, Drama, Comedy",0.505588,6.8,English
"Comedy, Thriller, Mystery, Romance",1.196569,6.6,English
"Comedy, Music, Romance",2.275332,6.3,"Magyar, English"
Drama,6.360746,7.7,English
"Action, Adventure, Comedy",3.909079,5.9,"English, Français"
"Science Fiction, Adventure, Action",8.918134,5.8,English
"Comedy, Drama, Romance",2.186683,4.8,English
"Comedy, Foreign, Romance",0.817974,6.7,English
Drama,1.656115,7.0,English
"Mystery, Drama, Thriller",1.75515,6.6,English
"Romance, Drama",8.43511,7.5,English
"Drama, Thriller, Romance, Foreign",1.709151,5.7,English
"Drama, Action, Thriller, Crime",10.0534,7.2,"English, Español"
"Comedy, Documentary",1.254364,6.7,English
"Action, Science Fiction, Thriller",0.657274,5.1,English
"Fantasy, Action, Adventure, Science Fiction",2.699959,4.5,English
Horror,2.502341,5.3,"English, Deutsch"
"Action, Drama, History, Western",4.393576,6.5,"English, Français, Deutsch, Polski, Pусский"
"Action, Comedy, Drama",1.221702,6.4,English
"Drama, Music, Romance",0.89977,6.2,English
"Action, Adventure, Comedy, Thriller",3.637392,6.7,"English, Français, Deutsch"
Comedy,0.775043,5.8,English
"Horror, Science Fiction",7.44429,5.9,"English, Deutsch"
Drama,0.178039,6.2,English
"Action, Adventure, Drama",1.282124,5.2,English
"Drama, Music, Romance",0.841574,5.9,English
"Drama, Comedy, Adventure",2.419145,8.0,Srpski
Horror,1.385791,3.2,Français
"Action, History, War",2.875229,7.5,"English, Français, Español"
"Comedy, Drama",5.296704,6.6,English
"Crime, Drama, Action, Thriller",11.693374,7.1,"Français, English"
"Western, History",3.557608,6.6,"English, svenska"
Drama,0.281928,6.4,English
"Adventure, Horror",1.669519,4.9,Italiano
"Comedy, Drama, Romance",6.545371,7.4,Français
"Comedy, Horror",2.055833,5.5,English
"Drama, Science Fiction",2.02305,6.0,"English, Français, Deutsch"
"Comedy, Horror",6.398395,6.1,English
"Action, Comedy, Horror",2.795752,5.4,English
"Action, Adventure, Western",0.983739,5.6,"English, Français"
"Comedy, Drama, Horror, Thriller",3.491636,7.1,English
Horror,2.364193,5.3,"Français, Deutsch, Italiano"
"Adventure, Action, Thriller",8.79061,4.4,English
"Comedy, Thriller, Crime",1.54645,5.6,"English, Deutsch"
Comedy,1.253508,6.7,Español
"Fantasy, Action, Comedy, Science Fiction",3.951404,6.5,English
"Action, Comedy",4.917863,5.3,English
"Drama, Romance, War",1.447713,6.6,"Hrvatski, English, Français, Srpski"
Comedy,3.374229,5.9,English
"Drama, Comedy",0.324682,7.3,Nederlands
Documentary,0.549502,7.6,"العربية, English, עִבְרִית"
"Drama, Romance",13.962548,7.3,Español
"Romance, Drama",7.108331,5.5,English
"Adventure, Drama, History",1.846624,6.8,English
Comedy,3.943187,7.1,English
"Comedy, Romance",1.231723,4.7,English
"Thriller, Action, Horror, Science Fiction, Crime",3.2768,5.8,English
Drama,5.355452,6.5,English
Drama,0.492593,5.4,English
Music,1.152225,4.9,English
"Drama, Action, Adventure",0.997875,5.0,English
"Comedy, Romance",9.896381,6.3,English
"Comedy, Romance",0.448461,7.2,English
"Action, Comedy",3.475332,7.0,广州话 / 廣州話
"Adventure, Action",3.364968,6.9,English
"Comedy, Science Fiction",6.295611,6.7,English
"Drama, Romance",2.222694,6.0,Nederlands
Comedy,6.481464,6.7,English
"Action, Drama, Thriller",1.878184,6.9,"Français, Pусский"
"Drama, Romance",7.936244,6.2,"Français, Italiano"
Comedy,3.500267,4.6,English
"Drama, Family, Comedy",1.329626,6.4,English
Foreign,0.058586,6.5,English
Drama,2.745074,6.4,English
"Horror, Mystery, Thriller",1.057432,5.4,English
Adventure,0.452215,6.5,English
Horror,1.933119,5.4,English
"Drama, Horror, Thriller",1.727656,6.3,English
"Adventure, Family, Science Fiction, Thriller",5.373623,4.9,"Český, English"
"Comedy, Crime, Drama, Thriller",8.127591,5.9,English
"Crime, Drama, Thriller",14.969502,6.6,English
"Drama, Family",10.991137,6.5,English
"Comedy, Fantasy, Drama",2.883184,5.7,"English, Íslenska"
"Drama, Romance",6.363081,7.2,"Français, Deutsch"
"Comedy, Romance, Drama",0.086622,6.0,
Drama,1.770055,5.5,Français
Comedy,0.474556,6.5,English
Romance,0.39401,4.0,English
"Crime, Drama, Romance, Thriller",5.070135,6.0,English
"Romance, Drama, Thriller, Horror, Crime",2.077602,5.9,English
"Adventure, Crime, Thriller, Action",1.488663,5.5,English
"Comedy, Romance",3.90299,5.1,English
"Drama, Comedy, Music, Romance",8.733819,6.4,English
"Drama, Foreign",0.25793,5.7,"Deutsch, English"
"Action, Comedy",1.224667,6.0,English
"Drama, Mystery, Thriller, Crime",8.371005,6.1,"English, Español"
"Romance, Comedy, Drama",1.27202,5.4,English
"Action, Comedy",0.689177,6.5,English
"Drama, Romance, Foreign",0.117912,4.8,Français
"Crime, Drama, Mystery",7.349189,6.5,English
"Documentary, History",1.706144,7.3,English
Drama,1.990877,6.3,English
"Adventure, Science Fiction",3.593732,6.2,English
"Crime, Drama, Mystery",9.887355,8.0,日本語
"Action, Adventure, Crime, Thriller",7.81862,5.9,English
"Drama, Thriller, Crime",7.397953,7.0,English
"Drama, Thriller, Mystery",5.258167,5.0,English
"Romance, Comedy",8.889064,5.3,English
"Drama, Mystery, Thriller",13.546984,6.0,English
"Drama, Comedy",7.714094,6.1,English
"Drama, Western",15.931069,7.1,English
"Action, Western, Adventure",10.099042,6.0,"English, Español"
"Action, Adventure, Thriller",2.301183,6.4,English
"Fantasy, Comedy, Science Fiction, Romance",9.019396,5.5,English
Comedy,3.063907,6.0,English
"Comedy, Horror",2.006718,4.9,English
"Fantasy, Horror, Science Fiction, Thriller",9.003838,6.4,"English, Deutsch"
"Crime, Drama, Thriller",9.645801,6.0,English
"Drama, Foreign",1.836865,6.4,Português
Drama,1.246464,4.0,English
"Mystery, Drama, Thriller, Romance, War",21.520641,6.0,"Deutsch, English"
Drama,1.557804,4.5,Français
Drama,1.109111,7.8,
"Crime, Drama, Thriller",5.324962,7.4,Español
"Adventure, Family, Mystery",0.982993,5.3,
"Comedy, Drama, Romance",0.816047,5.0,"English, Français"
Drama,1.251219,5.0,English
"Comedy, Drama, Romance",6.332398,5.7,English
Documentary,4.704091,7.2,English
"Action, Comedy, Mystery, Thriller",0.628159,3.3,English
Drama,0.525668,6.7,Français
"Drama, Foreign, Romance",0.18238,5.8,English
"Crime, Drama, Mystery, Thriller",12.106615,7.0,English
Drama,0.166855,8.0,English
"Drama, Horror, Thriller, Crime",1.62632,5.3,English
"Drama, Adventure, Romance",0.825362,5.7,English
"Drama, Action, Crime",2.666065,7.5,"English, Français"
"Comedy, Drama",6.882529,5.3,"English, Magyar"
"Comedy, Drama, Romance",0.872855,5.8,English
"Action, Drama, Romance, Thriller, Adventure, War",1.846984,5.2,"English, Français, Deutsch, Español"
"Fantasy, Comedy, Romance",1.33724,5.5,English
"Drama, Romance",0.240351,6.0,English
"Romance, Comedy, Drama",9.450853,6.7,English
Drama,0.345862,5.4,English
Drama,7.285627,7.2,English
"Thriller, Horror, Mystery",5.917152,5.3,"English, Français"
"Drama, Mystery, Thriller",1.047834,5.5,English
"Crime, Drama, Romance, Thriller",0.941383,5.5,English
Drama,1.986116,7.3,"English, Deutsch"
"Action, Crime, Drama, Romance",2.050252,5.5,English
"Comedy, Drama",9.987317,6.4,"普通话, English"
Drama,0.123276,4.0,
"Drama, Romance",1.49206,6.2,日本語
"Drama, Action, Thriller, Crime, Mystery",1.713244,6.0,"English, Deutsch"
"Comedy, Romance",2.700782,7.3,English
"Comedy, Romance",2.817742,7.0,English
"Drama, Thriller",3.939797,6.3,"English, Français, Deutsch, svenska"
"Horror, Science Fiction",0.808843,3.9,English
"Adventure, Drama, Family",9.074631,6.2,English
"Action, Adventure, Drama, History",1.870581,6.5,English
Drama,3.399684,6.4,English
"Drama, Comedy",3.278056,5.7,"Español, English"
"Comedy, Family",9.255418,5.7,"English, Italiano, Português"
"Thriller, Drama",8.96839,6.3,"English, Français"
"War, Drama, History",0.765716,6.0,Français
Drama,6.404093,5.6,English
"Romance, Drama, Comedy",2.793003,6.6,English
"Drama, Romance, War",3.434242,8.1,Pусский
"Action, Comedy, Crime, Drama",4.204629,6.4,English
"Action, Comedy, Crime",0.018017,5.7,Deutsch
Horror,8.541796,6.3,Italiano
"Action, Western, Music",5.587033,6.8,English
"Drama, Romance, War",9.524512,7.9,Pусский
Horror,0.670951,4.0,English
"Western, Drama, Comedy, Music",1.346707,6.1,English
"Action, Thriller",0.85977,6.3,English
"Drama, Comedy, Romance",10.956665,6.6,English
Drama,8.128106,6.8,"English, עִבְרִית, Magyar"
"Comedy, Drama, History, Romance",8.287054,6.8,"Deutsch, English"
"Action, Adventure, Drama, History, War",1.652755,6.3,English
"Horror, Thriller, Mystery",4.789131,6.7,English
"Crime, Drama",3.930136,7.2,English
"Documentary, Music",2.969857,7.9,English
"Action, Adventure, Drama, Romance",3.033852,4.4,"English, Español"
"Drama, Thriller",6.681287,6.2,English
"Crime, Mystery, Thriller",11.424974,6.8,English
"Western, Animation, Adventure, Comedy, Family",16.724836,7.4,English
"Comedy, Drama, Science Fiction",1.991025,6.0,"Français, English"
Drama,11.283079,6.4,English
"Drama, Romance, Comedy",3.899327,5.9,English
Western,4.314564,6.2,English
"Drama, Thriller",2.38281,6.3,English
"Drama, Crime",1.405267,7.0,English
"Comedy, Romance",3.273251,6.0,"العربية, English, Français, Deutsch, Italiano"
"Comedy, Romance",2.853852,6.8,English
Drama,1.199649,6.7,English
"Adventure, Western",5.321632,6.3,English
"Action, Comedy",5.00725,5.5,English
Drama,0.321377,5.0,English
Drama,0.001893,0.0,English
"Drama, Romance",4.176526,6.8,English
Western,5.428329,4.1,"English, Italiano"
"Action, Adventure, Drama",6.414758,6.4,"English, Deutsch"
"Drama, Comedy",1.414306,5.8,"Français, English, Pусский"
Drama,1.129891,6.1,English
"Action, Thriller",3.073113,6.2,English
"Adventure, Drama, Science Fiction",14.108597,6.2,"English, Deutsch"
"Music, Romance",0.441386,6.4,English
"Comedy, Western",4.27404,5.7,English
Horror,2.873528,5.6,"Italiano, Tiếng Việt"
"Action, Adventure, Comedy, Thriller",9.540021,5.4,English
"Comedy, Drama, Romance",4.327218,5.6,English
"Comedy, Drama, Mystery, Thriller",4.259532,6.6,English
"Fantasy, Drama",1.135061,6.3,
"Drama, Action, History, War",7.455875,5.8,"English, 日本語, "
"Comedy, Drama",3.401162,6.4,English
"Comedy, Drama, Family, Foreign, Romance",0.901594,6.9,English
"Action, Drama, Thriller",2.811699,6.5,English
Drama,4.242462,4.8,English
"Action, Drama, War",2.702716,6.7,"Český, English, Deutsch, Slovenčina"
"Western, Drama",6.975511,6.3,English
"Comedy, Adventure",2.5697,6.2,English
"Action, Western, Thriller",1.372254,6.0,"English, Français"
"Drama, Romance, War",1.593471,5.3,Nederlands
"Comedy, Western",9.07909,5.5,English
"Drama, Action, Thriller, Crime",3.541487,5.3,English
Horror,5.852908,6.1,"English, Deutsch, Italiano"
"Drama, Thriller",8.433119,6.8,English
"Action, Drama, Western",8.019495,7.2,English
Comedy,0.829756,7.3,English
"Science Fiction, Thriller",4.29831,6.1,English
"Comedy, Crime",8.339485,5.5,English
Comedy,2.648622,6.3,English
Western,7.715087,7.1,English
"Drama, Action, Thriller, Crime, Mystery",0.575656,7.3,English
"Action, Adventure, Drama, Mystery, Thriller",2.08013,4.6,"English, Français"
"Comedy, Drama",3.970857,4.2,English
"Action, Thriller, Science Fiction, Mystery",20.666063,7.1,"English, svenska"
"Adventure, Drama, Action, History",4.403771,6.9,English
Drama,4.016473,6.0,English
"Animation, Family",4.5973,5.6,English
"Comedy, Romance",6.674356,5.6,English
"Comedy, Drama, Romance",2.605409,6.3,English
"Comedy, Drama, Romance",2.008306,5.9,English
Drama,1.521922,6.1,English
"Action, Comedy, Thriller, Crime, Romance",1.755586,5.6,English
"Drama, Comedy, Crime, Foreign",0.902187,5.7,English
"Adventure, Comedy, Western",4.102354,4.8,"Italiano, English"
"Drama, Romance",0.506589,5.4,English
"Animation, Action, Family",5.024459,5.6,English
Drama,7.576878,7.1,English
"Family, Action, Adventure",3.148745,5.4,English
"Adventure, Action, Fantasy",13.067306,6.0,English
"Thriller, Crime, Drama",13.426684,7.3,English
"Comedy, Drama, Foreign, Romance",2.695993,6.6,日本語
"Drama, Comedy, Romance",1.257659,6.3,Français
"Comedy, Romance",0.807369,4.0,English
Science Fiction,8.875771,6.1,English
"Action, Comedy, Crime",1.974792,6.1,English
"Romance, Comedy, Drama",2.328043,7.4,English
"Drama, Romance",1.289698,3.9,English
"Drama, Comedy, History, Music",1.558517,7.1,English
"Crime, Drama, Romance",2.82367,7.6,"Français, Deutsch"
"Mystery, Horror, Drama",1.522753,5.6,English
"Drama, History, Thriller",11.943621,8.0,"English, Français, Pусский"
"Drama, Romance",8.164312,6.6,"English, Français, Deutsch, Español"
"Action, Comedy, Horror, Thriller",10.800753,5.4,English
"Drama, History, Thriller",7.718723,6.1,English
"Adventure, Comedy, Family",7.007574,4.3,English
Documentary,2.6493,7.3,English
"Drama, Comedy",0.653271,6.4,普通话
"Comedy, Drama, Romance",9.203416,5.5,"English, Français"
"Action, Comedy, Crime",6.804386,5.5,English
"Crime, Comedy",1.345474,6.6,"English, Deutsch"
Drama,1.262664,7.2,"العربية, Deutsch"
"Drama, Horror",5.207465,7.5,"English, Deutsch"
"Action, Comedy",7.524202,6.1,English
"Drama, Music, Romance",2.947023,6.1,English
"Action, Comedy, Drama",0.531514,7.1,English
Drama,1.148749,7.8,Italiano
"Crime, Drama, Romance",2.112961,7.0,Italiano
Drama,4.249501,8.1,日本語
"Action, Adventure, Drama, Romance",3.849626,6.6,English
Comedy,5.971241,7.0,"English, , Deutsch"
"Comedy, Family",4.659087,3.7,English
"Drama, Thriller, Science Fiction, Mystery",11.211568,6.4,"English, Português"
"Comedy, Drama, Romance",5.50323,6.5,Italiano
"Drama, Comedy, Romance",4.388338,6.1,English
"Crime, Drama, Mystery, Thriller",5.852263,6.1,"English, Español"
"Comedy, Drama",12.655728,6.8,English
Documentary,1.56449,6.3,English
Comedy,0.671441,4.5,"Français, English"
"Drama, Thriller, Romance, Foreign",0.202829,2.5,English
Comedy,0.221421,5.7,فارسی
Comedy,0.527297,5.0,English
"Drama, Foreign, Romance",1.023718,6.6,"普通话, Pусский"
"Drama, Thriller, Crime, Romance",2.98332,7.0,Français
"Drama, Crime, Mystery",3.596246,5.5,Français
"Drama, Romance",3.873576,7.0,Français
"Drama, Music, Romance",0.68564,6.2,English
"Drama, Foreign",0.502596,5.8,
"Action, Adventure, Crime, Drama",8.332485,6.1,English
"Adventure, Action, Science Fiction",6.680938,6.0,English
"Action, Comedy, Science Fiction",8.903754,4.4,English
"Romance, Drama, Comedy",7.458993,6.6,"Deutsch, Italiano"
"Drama, Thriller",3.882092,6.9,한국어/조선말
"Drama, Mystery, Romance",4.439325,6.5,English
"Horror, Thriller",10.753445,6.6,English
"Comedy, Romance",10.16841,5.0,"Español, English"
"Comedy, Drama, Science Fiction",5.759483,5.5,English
"Comedy, Romance",1.294569,5.4,English
"Comedy, Family, Romance",0.885044,7.0,"English, Deutsch"
"Drama, Foreign",0.532229,7.0,日本語
"Drama, Foreign",1.811615,6.3,Français
"Music, Drama",0.669752,5.0,"العربية, Français"
"Adventure, Fantasy, Family",7.50381,6.8,English
Horror,3.185801,5.4,"English, Deutsch, Italiano, Español"
"Action, Drama, Horror, Science Fiction",3.955633,5.4,English
"Adventure, Drama, Comedy, Science Fiction, Thriller",5.65127,6.8,English
"Science Fiction, Horror",0.483134,3.7,English
"Adventure, Drama, Comedy, Family",0.50525,4.9,
Comedy,9.970485,5.9,"English, Español"
"Action, Drama, Romance, Western",1.62482,6.1,English
"Drama, Action, Western, Music, Romance",1.157582,5.5,English
Horror,1.09212,6.0,English
"Drama, Romance",0.994694,6.8,English
"Drama, Horror",2.522474,6.0,English
"Horror, Thriller",5.160215,3.2,"English, Pусский"
Comedy,2.245356,5.5,"English, Français"
"Action, Thriller",0.210241,3.0,English
"Drama, History, Romance, Foreign",1.059641,5.2,Español
Comedy,1.209032,7.4,Français
Drama,1.514134,6.5,English
"Drama, Thriller",2.0769,7.5,English
"Crime, Drama, Mystery",3.903016,5.7,English
"Drama, Thriller",8.421411,5.0,English
"Comedy, Romance",0.0026,0.0,
Horror,1.011264,5.5,English
"Action, Comedy, Thriller, Crime",4.063135,6.3,English
"Horror, Thriller",9.640939,6.0,English
"Horror, Thriller",7.110912,7.2,Español
"Documentary, Foreign",0.10064,8.0,"Español, English"
"Action, Comedy, Drama",7.272325,4.4,English
"Drama, Thriller, Crime, Foreign",0.159662,7.0,Français
"Drama, Romance",2.522402,6.6,Français
"Comedy, Drama",5.536107,6.5,English
"Drama, Foreign",0.214632,7.2,普通话
Drama,0.796778,5.3,English
Comedy,7.772822,5.0,English
"Action, Adventure, Comedy, Family",5.429614,5.6,English
"Crime, Horror, Mystery",0.720269,5.7,English
"Romance, Drama, Action",1.456925,5.9,English
"Comedy, Drama",2.406006,6.8,English
Drama,1.392731,7.2,English
"Comedy, Family",2.804503,5.8,English
Horror,2.398954,4.8,"English, Deutsch"
"Comedy, Thriller",0.7583,6.3,English
Horror,6.649791,5.3,English
"Comedy, Family, Science Fiction",2.428279,4.8,English
"Action, Comedy, Family, Science Fiction",4.409121,4.6,English
"Action, Adventure, Comedy, Family",2.556077,4.4,English
"Adventure, Drama, Romance",2.211623,7.4,English
Drama,3.386374,7.2,English
"Drama, Family",2.123277,6.9,English
"Comedy, Crime",12.509812,7.3,English
"Comedy, Crime",4.546546,7.3,"English, Français, Português"
"Comedy, Drama",3.579001,6.9,English
Drama,2.45982,7.5,English
"Comedy, Drama, Horror",4.454846,6.6,English
"Comedy, Drama, Romance",3.319598,7.3,Español
"Drama, Thriller",7.881933,7.5,Deutsch
"Action, Adventure, Thriller",9.094558,4.3,"English, Español"
"Comedy, Drama",8.992438,5.5,English
"War, Adventure, Drama, Romance",6.894153,6.5,English
"Action, Crime, Drama, Thriller",5.781667,5.8,English
"Comedy, Thriller, Music, Crime, Mystery",5.717082,6.9,Français
Drama,3.83196,7.0,"Italiano, Türkçe"
"Drama, War",0.685649,6.5,English
Horror,0.006517,0.0,English
"Comedy, Drama, Romance",10.936827,6.8,English
"Fantasy, Adventure, Animation, Family",41.048867,8.3,日本語
Documentary,0.299669,6.3,
"Comedy, Romance",8.587129,6.1,English
"Thriller, Action, Comedy, Science Fiction",6.023213,5.3,"广州话 / 廣州話, English"
"Comedy, Drama",0.775503,7.6,English
"Horror, Thriller",0.405812,5.0,English
"Comedy, Romance",1.739704,0.0,"English, Pусский"
"Romance, Drama",14.074906,6.4,"English, עִבְרִית"
Documentary,0.009083,0.0,
"Action, Drama",0.914404,6.0,English
"Drama, Action, Comedy",12.426505,6.2,"Français, 日本語, Pусский"
"Action, Adventure, Animation, Comedy, Family, Fantasy, Romance",1.734181,6.4,"Český, English"
Drama,0.410523,7.0,English
"Action, Adventure, Drama, History",7.757913,7.2,"English, Gaeilge"
"Comedy, Romance",0.302487,6.5,English
"Drama, Romance",5.071803,5.9,English
Comedy,3.031934,6.2,English
"Drama, Romance",2.076971,6.4,"English, Italiano"
"Drama, Comedy",0.928494,5.6,"Français, English"
"Crime, Drama",9.637341,6.2,English
"Drama, Family",2.40977,7.1,English
"Drama, Romance",8.40852,6.7,English
Comedy,2.954184,6.2,English
"Animation, Comedy, Family, Fantasy, Science Fiction",3.37816,6.4,English
"Drama, Romance",0.59091,5.2,English
"Drama, Horror, Thriller",0.519465,7.3,English
"Drama, Comedy",0.295987,0.0,
"Action, Comedy, Crime",2.115753,6.6,English
"Mystery, Action, Comedy, Crime",8.240643,6.0,English
Drama,0.486514,5.9,English
"Thriller, Drama, Crime",2.459915,7.0,English
"Mystery, Thriller",0.674968,7.6,English
"Action, Comedy",0.664949,7.6,English
"Thriller, Horror, Mystery",11.19785,6.0,English
"Comedy, Romance",3.142874,7.0,
"Crime, Thriller",6.557426,5.9,"Český, English"
"Comedy, Drama, Romance",6.781935,6.3,"English, Deutsch"
"Drama, Family, Fantasy, Romance, Science Fiction",5.951492,6.4,"English, Français"
Drama,13.75498,7.2,English
Documentary,11.393859,7.3,English
"Comedy, Documentary",7.938629,6.8,English
"Drama, Adventure",2.264968,6.5,Français
"Comedy, Drama, Romance",6.753969,6.9,English
"War, Drama, History",0.47396,5.4,Français
"Comedy, Romance",3.492576,4.8,"Italiano, ελληνικά, English"
Drama,0.001677,0.0,English
