genres,popularity,vote_average,spoken_languages
"Action, Comedy",3.606688,7.1,"广州话 / 廣州話, English"
Action,8.507688,6.7,"广州话 / 廣州話, English, Pусский"
"Action, Western",2.383612,5.7,"广州话 / 廣州話, English"
"Comedy, Horror",6.631724,6.2,English
Horror,2.452019,4.8,English
Horror,4.052825,5.6,English
"Comedy, Family",0.824952,5.1,svenska
"Animation, Family",0.377454,0.0,English
"Comedy, Horror",8.212132,5.3,English
"Horror, Thriller, Comedy",5.615205,4.1,English
"Comedy, Crime, Mystery",6.040486,6.8,English
"Comedy, Crime, Mystery",10.357224,5.8,English
"Comedy, Documentary",1.578537,6.0,English
Comedy,0.439344,6.8,English
Comedy,10.451986,6.7,English
Comedy,6.349281,3.9,English
"Adventure, Fantasy, Action, Thriller, Science Fiction",7.881107,5.4,English
Mystery,0.606175,3.7,English
Comedy,4.724443,6.2,Français
Comedy,4.269485,6.5,Français
Comedy,4.363057,6.1,Français
Comedy,4.337562,6.5,Français
Comedy,6.479033,6.8,Français
"Comedy, Science Fiction",5.73912,6.1,"English, Français"
"Adventure, Action, Thriller, Science Fiction",14.412644,6.7,English
"Adventure, Horror, Action, Science Fiction",12.348655,3.8,English
"Adventure, Science Fiction, Action",11.161339,4.2,English
"Animation, Action, Science Fiction",13.357011,5.6,English
"Action, Thriller",6.939994,6.3,English
"Action, Adventure",8.500628,4.2,"English, Deutsch"
"Action, Thriller",2.426706,4.2,"English, Português"
"Drama, Action, Thriller, Romance",1.85208,4.5,English
"Action, Drama, Thriller",1.82717,3.8,English
"Action, Drama",6.966654,4.5,"English, ภาษาไทย"
"Horror, Mystery, Thriller",8.612618,6.0,English
"Horror, Mystery, Thriller",5.936241,5.4,"English, Polski"
Horror,11.00913,6.0,English
"Drama, Horror, Crime",12.221507,6.6,"Español, English"
"Documentary, Drama",1.686358,7.9,English
Documentary,1.661741,7.2,English
Documentary,2.84239,7.6,English
"Comedy, Mystery",3.985387,6.9,"Français, Italiano"
Comedy,1.599224,6.8,"Français, Italiano"
"Adventure, Horror, Thriller",14.386089,4.8,English
"Adventure, Action, Horror, Science Fiction, Thriller",10.749404,4.9,"English, Pусский"
"Action, Horror, Thriller",4.208273,4.0,English
"Action, Horror, Science Fiction",3.167031,3.9,English
"Action, Fantasy",5.577636,6.0,English
"Action, Adventure, Fantasy, Science Fiction",4.038283,4.6,English
Action,0.768181,5.0,Pусский
Action,0.471086,5.6,Pусский
"Comedy, Fantasy, Science Fiction",1.179922,5.5,Italiano
"Action, Adventure, Fantasy, Science Fiction",4.884311,3.9,"English, Polski"
"Action, Adventure, Fantasy",6.722598,4.8,English
"Adventure, Fantasy",4.422468,4.2,English
"Adventure, Animation, Drama, Family",12.453452,7.1,English
"Adventure, Animation, Family",6.668987,6.0,English
"Animation, Family",6.237055,5.4,English
"Comedy, Romance",1.03513,5.1,"English, Pусский"
Comedy,0.780695,4.4,Pусский
"Comedy, Romance",0.318437,5.9,Pусский
"Action, Science Fiction",0.884241,5.1,Pусский
"Action, Science Fiction",1.900502,6.0,Pусский
"Action, Comedy, Drama, Family",5.511475,5.3,English
"Action, Comedy, Drama, Family",11.117131,5.8,"English, Íslenska"
"Comedy, Family",6.113646,6.4,English
"Action, Science Fiction",7.805145,4.2,English
"Thriller, Action, Science Fiction, Crime",8.035769,5.8,English
"Adventure, Action, Science Fiction, Thriller",8.226,5.2,"български език, English"
"Thriller, Action, Science Fiction, Horror, Mystery",12.887287,5.1,English
"Action, Science Fiction",2.322004,3.8,English
"Action, Science Fiction",3.074653,3.7,English
"Fantasy, Horror, Thriller",9.128905,5.7,"English, Italiano"
"Horror, Science Fiction, Thriller",4.88911,4.8,"English, Español"
"Horror, Science Fiction, Thriller",2.803406,4.8,English
"Action, Crime",1.400186,6.0,Pусский
"Action, Crime",1.914548,5.9,Pусский
Comedy,1.740314,6.8,"Český, Pусский"
Comedy,0.629096,5.0,Pусский
Comedy,0.882049,6.1,"Český, Pусский"
Comedy,0.204356,5.7,Pусский
Comedy,1.866982,4.1,Pусский
Comedy,2.025505,6.1,Pусский
Comedy,0.85273,6.8,Pусский
Comedy,0.789132,3.8,Pусский
Comedy,1.361724,3.8,Pусский
Comedy,1.062573,6.3,Pусский
Comedy,1.159844,3.0,Pусский
Comedy,0.877477,3.0,Pусский
Comedy,1.272069,3.4,Pусский
"Drama, Family, Romance, Music",4.794088,6.3,English
"Drama, Family, Romance",3.981958,5.2,English
"Action, Crime, Drama",7.165551,5.8,Français
"Drama, Comedy, Romance",2.694572,7.2,Pусский
